Date,Open,High,Low,Close,Adj Close,Volume
2011-06-27,158.451248,166.969406,157.944550,176.042321,115.589554,24477132
2011-07-04,165.889099,169.952194,165.889099,176.342123,116.880936,21733683
2011-07-11,167.208420,168.565964,166.195023,176.023125,116.251801,24934863
2011-07-18,167.045883,177.466537,165.946457,177.036331,122.635902,39225942
2011-07-25,175.803055,176.826004,171.826004,179.73327,120.430649,27503943
2011-08-01,174.569794,175.611862,159.196945,176.23221,114.556442,43125743
2011-08-08,161.405350,165.019119,154.732315,175.23212,111.390854,59285921
2011-08-15,163.785858,166.347992,150.219879,174.232143,104.785568,49697238
2011-08-22,154.254303,161.883362,150.688339,174.23212,112.501175,35343504
2011-08-29,163.078400,166.080307,158.699814,173.69403,111.064484,27497561
2011-09-05,155.889099,162.122375,153.738052,178.34323,107.333046,26494029
2011-09-12,153.001907,165.382416,151.778198,176.68321,115.061943,35003553
2011-09-19,162.045883,169.856598,158.470367,180.32312,112.634171,33252865
2011-09-26,163.441681,172.954117,162.390060,182.23331,119.172485,30397806
