Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,32.220001,32.459999,31.049999,31.520000,25.680490,178430200
2012-04-09,31.219999,31.400000,30.230000,30.809999,25.102022,206254900
2012-04-16,30.990000,32.889999,30.770000,32.419998,26.413755,273865400
2012-04-23,32.310001,32.520000,31.830000,31.980000,26.055267,246492000
2012-04-30,31.980000,32.340000,30.920000,30.980000,25.240532,206343300
2012-05-07,30.700001,31.540001,30.100000,31.160000,25.387188,232577500
2012-05-14,30.820000,31.040001,29.170000,29.270000,23.847334,267124700
2012-05-21,29.100000,29.879999,28.639999,29.059999,23.831591,225546000
2012-05-28,29.379999,29.719999,28.440001,28.450001,23.331347,175112600
2012-06-04,28.620001,29.700001,28.320000,29.650000,24.315449,220846100
2012-06-11,29.730000,30.080000,28.820000,30.020000,24.618876,216457700
2012-06-18,29.990000,31.139999,29.709999,30.700001,25.176529,264217500
2012-06-25,30.299999,30.690001,29.420000,30.590000,25.086323,214975800
