Date,Open,High,Low,Close,Adj Close,Volume
6/27/2011,24.23,24.17,23.23,23.640012,26.772274,344568900
7/4/2011,24.98,24.98,23.9,23.920045,25.490763,196816700
7/11/2011,22.820001,23.01,23.34,23.540892,25.379005,227695600
7/18/2011,24.6,24.609999,23.26,23.70139,25.977745,339145900
7/25/2011,24.06,24.15,22.190001,22.900321,25.87396,442763800
8/1/2011,23.01,23.690001,22.23,22.503469,23.500849,395323900
8/8/2011,23.02,23.620001,22.030001,22.10042,22.037825,543823200
8/15/2011,24.24,23.700001,21.91,22.340541,21.199591,344816700
8/22/2011,24.32,24.34,22.700001,22.709319,21.2848,279870300
8/29/2011,23.530001,23.860001,22.370001,22.403132,20.726643,259910600
9/5/2011,24.200001,23.66,22.10001,23.103474,19.678446,227231400
9/12/2011,23.240001,23.27,22.0027,22.004201,19.787081,328067400
9/19/2011,23.299999,23.5,20.6,21.676901,20.13216,335333900
9/26/2011,23.190001,23.52,20.73,21.689103,20.437431,51057600
