Date,Open,High,Low,Close,Adj Close,Volume
2012-04-02,199.770554,201.424469,195.468445,196.434036,137.749298,16414250
2012-04-09,195.411087,197.103256,193.279160,193.881454,135.959274,18328639
2012-04-16,195.736145,198.508606,188.833649,190.822174,133.813995,31972768
2012-04-23,189.187378,199.015289,188.135757,197.715103,138.647598,20970312
2012-04-30,197.619507,199.741867,195.411087,195.975143,137.427475,15375782
2012-05-07,194.990433,195.764816,190.305923,192.323135,134.866501,18011492
2012-05-14,191.128113,192.609940,186.577438,187.265778,131.870193,23410526
2012-05-21,187.361374,189.541107,184.703629,185.755264,130.806488,18796620
2012-05-28,186.634796,189.369019,180.305923,180.764816,127.292305,22713785
2012-06-04,180.057358,187.217972,178.776291,186.558319,131.372009,18830720
2012-06-11,187.954117,190.506699,183.690247,190.344162,134.037949,20416560
2012-06-18,188.881454,191.195023,184.694077,185.181641,130.402588,24261238
2012-06-25,184.015289,187.198853,180.592728,186.978973,131.668213,19494407
